,index,total,home_count,admit_count,home_pp,admit_pp
0,abd pain,33675,16348.0,17327.0,0.48546399406087604,0.514536005939124
1,chest pain,26885,16520.0,10365.0,0.6144690347777572,0.3855309652222429
2,transfer,24102,3988.0,20114.0,0.16546344701684507,0.8345365529831549
3,s/p fall,21796,12846.0,8950.0,0.5893741971003854,0.4106258028996146
4,dyspnea,19194,6228.0,12966.0,0.32447639887464835,0.6755236011253517
5,headache,13442,10306.0,3136.0,0.7667013837226603,0.2332986162773397
6,fever,13121,4185.0,8936.0,0.3189543479917689,0.6810456520082311
7,back pain,9998,7082.0,2916.0,0.7083416683336667,0.29165833166633326
8,etoh,9654,8530.0,1124.0,0.8835715765485809,0.1164284234514191
9,weakness,9584,2986.0,6598.0,0.3115609348914858,0.6884390651085142
10,dizziness,9524,6189.0,3335.0,0.6498320033599329,0.3501679966400672
11,n/v,9339,4605.0,4734.0,0.49309347895920336,0.5069065210407967
12,si,8439,4204.0,4235.0,0.49816328948927596,0.501836710510724
13,wound eval,7753,4607.0,3146.0,0.5942215916419451,0.40577840835805495
14,cough,7660,4670.0,2990.0,0.6096605744125326,0.39033942558746737
15,altered mental status,6213,1319.0,4894.0,0.21229679703846774,0.7877032029615323
16,mvc,5807,4493.0,1314.0,0.7737213707594283,0.2262786292405717
17,abnormal labs,5392,1139.0,4253.0,0.21123887240356082,0.7887611275964391
18,lower back pain,5364,4458.0,906.0,0.831096196868009,0.16890380313199105
19,syncope,5322,3221.0,2101.0,0.6052236001503194,0.39477639984968055
20,ili,5167,3920.0,1247.0,0.7586607315657055,0.24133926843429457
21,nausea,4834,3012.0,1822.0,0.6230864708316094,0.37691352916839055
22,palpitations,4452,3378.0,1074.0,0.7587601078167115,0.24123989218328842
23,sore throat,4444,4001.0,443.0,0.9003150315031503,0.09968496849684969
24,n/v/d,4324,2678.0,1646.0,0.6193339500462535,0.38066604995374653
25,brbpr,4245,1549.0,2696.0,0.36489988221436986,0.6351001177856301
26,neck pain,4116,3390.0,726.0,0.8236151603498543,0.17638483965014579
27,vomiting,4089,2180.0,1909.0,0.533137686475911,0.466862313524089
28,diarrhea,4033,2114.0,1919.0,0.5241755516984875,0.47582444830151255
29,seizure,3853,1717.0,2136.0,0.44562678432390346,0.5543732156760965
30,rash,3393,2770.0,623.0,0.8163866784556439,0.18361332154435603
31,dysuria,3380,2652.0,728.0,0.7846153846153846,0.2153846153846154
32,head injury,3200,2727.0,473.0,0.8521875,0.1478125
33,anxiety,3001,2402.0,599.0,0.8003998667110963,0.1996001332889037
34,rlq abdominal pain,2838,1908.0,930.0,0.6723044397463002,0.3276955602536998
35,hematuria,2736,1786.0,950.0,0.6527777777777778,0.3472222222222222
36,allergic reaction,2608,2334.0,274.0,0.8949386503067485,0.10506134969325154
37,r flank pain,2569,1918.0,651.0,0.7465940054495913,0.25340599455040874
38,hypertension,2561,1937.0,624.0,0.7563451776649747,0.2436548223350254
39,confusion,2508,596.0,1912.0,0.23763955342902712,0.7623604465709729
40,vaginal bleeding,2496,2034.0,462.0,0.8149038461538461,0.18509615384615385
41,hyperglycemia,2386,1118.0,1268.0,0.4685666387259011,0.5314333612740989
42,hypotension,2356,395.0,1961.0,0.16765704584040747,0.8323429541595926
43,epigastric pain,2352,1380.0,972.0,0.5867346938775511,0.413265306122449
44,unable to ambulate,2347,1922.0,425.0,0.8189177673625906,0.18108223263740947
45,l flank pain,2302,1765.0,537.0,0.766724587315378,0.23327541268462207
46,depression,2273,1296.0,977.0,0.5701715794104707,0.42982842058952925
47,pregnant,2240,1559.0,681.0,0.6959821428571429,0.3040178571428571
48,l leg pain,2239,1455.0,784.0,0.6498436802143814,0.35015631978561856
49,tachycardia,2138,756.0,1382.0,0.35360149672591207,0.646398503274088
50,r leg pain,2070,1448.0,622.0,0.6995169082125604,0.3004830917874396
51,ruq abdominal pain,2053,927.0,1126.0,0.45153433999025816,0.5484656600097418
52,abdominal pain,2039,1035.0,1004.0,0.5076017655713585,0.4923982344286415
53,r knee pain,2030,1716.0,314.0,0.8453201970443349,0.15467980295566502
54,l knee pain,1995,1701.0,294.0,0.8526315789473684,0.14736842105263157
55,lower abdominal pain,1931,1427.0,504.0,0.7389953392024857,0.2610046607975142
56,lightheaded,1919,1314.0,605.0,0.6847316310578426,0.3152683689421574
57,dyspnea on exertion,1900,544.0,1356.0,0.2863157894736842,0.7136842105263158
58,assault,1869,1562.0,307.0,0.835741037988229,0.164258962011771
59,presyncope,1857,1280.0,577.0,0.6892837910608508,0.31071620893914914
60,urinary retention,1820,1327.0,493.0,0.7291208791208791,0.27087912087912086
61,___,1811,1328.0,483.0,0.7332965212589729,0.26670347874102707
62,laceration,1789,1641.0,148.0,0.917272219116825,0.08272778088317496
63,llq abdominal pain,1717,1264.0,453.0,0.7361677344205009,0.2638322655794991
64,abnormal ct,1661,393.0,1268.0,0.2366044551475015,0.7633955448524985
65,visual changes,1643,1035.0,608.0,0.6299452221545953,0.37005477784540475
66,anemia,1639,351.0,1288.0,0.2141549725442343,0.7858450274557657
67,r shoulder pain,1629,1404.0,225.0,0.861878453038674,0.13812154696132597
68,r foot pain,1623,1196.0,427.0,0.7369069624152803,0.26309303758471964
69,l arm pain,1589,1267.0,322.0,0.7973568281938326,0.2026431718061674
70,constipation,1551,1034.0,517.0,0.6666666666666666,0.3333333333333333
71,sob,1526,478.0,1048.0,0.3132372214941022,0.6867627785058977
72,l foot pain,1524,1128.0,396.0,0.7401574803149606,0.25984251968503935
73,l shoulder pain,1496,1247.0,249.0,0.8335561497326203,0.16644385026737968
74,leg swelling,1491,449.0,1042.0,0.301140174379611,0.698859825620389
75,lethargy,1467,301.0,1166.0,0.20518064076346285,0.7948193592365371
76,hypoxia,1449,74.0,1375.0,0.05106970324361629,0.9489302967563837
77,abdominal distention,1437,334.0,1103.0,0.232428670842032,0.767571329157968
78,cp,1422,880.0,542.0,0.6188466947960619,0.38115330520393814
79,l hip pain,1368,767.0,601.0,0.560672514619883,0.43932748538011696
80,r hip pain,1365,784.0,581.0,0.5743589743589743,0.4256410256410256
81,abscess,1292,760.0,532.0,0.5882352941176471,0.4117647058823529
82,asthma exacerbation,1271,909.0,362.0,0.7151848937844217,0.28481510621557826
83,epistaxis,1266,1050.0,216.0,0.8293838862559242,0.17061611374407584
84,rectal pain,1221,912.0,309.0,0.7469287469287469,0.25307125307125306
85,fatigue,1213,539.0,674.0,0.4443528441879637,0.5556471558120363
86,finger laceration,1210,1200.0,10.0,0.9917355371900827,0.008264462809917356
87,overdose,1209,597.0,612.0,0.49379652605459057,0.5062034739454094
88,r arm pain,1146,924.0,222.0,0.806282722513089,0.193717277486911
89,sdh,1119,267.0,852.0,0.2386058981233244,0.7613941018766756
90,substance use,1115,901.0,214.0,0.8080717488789237,0.19192825112107623
91,melena,1103,236.0,867.0,0.21396192203082504,0.786038077969175
92,dental pain,1065,984.0,81.0,0.923943661971831,0.07605633802816901
93,psych eval,1062,526.0,536.0,0.4952919020715631,0.504708097928437
94,right sided abdominal pain,1029,653.0,376.0,0.6345966958211856,0.3654033041788144
95,ped struck,1028,650.0,378.0,0.632295719844358,0.36770428015564205
96,hypoglycemia,1023,555.0,468.0,0.5425219941348973,0.4574780058651026
97,slurred speech,1020,267.0,753.0,0.26176470588235295,0.7382352941176471
98,leg pain,1011,634.0,377.0,0.6271018793273986,0.37289812067260136
99,ich,1011,74.0,937.0,0.07319485657764589,0.9268051434223541
100,flank pain,958,663.0,295.0,0.6920668058455115,0.3079331941544885
101,r ankle pain,956,851.0,105.0,0.8901673640167364,0.1098326359832636
