,index,total,discharge_count,expire_count,discharge_pp,expired_pp
0,transfer,20144,20114.0,30.0,0.9985107227958697,0.0014892772041302622
1,abd pain,17332,17327.0,5.0,0.9997115162704824,0.0002884837295176552
2,dyspnea,12974,12966.0,8.0,0.9993833821489132,0.000616617851086789
3,chest pain,10374,10365.0,9.0,0.9991324465008675,0.0008675534991324465
4,s/p fall,8963,8950.0,13.0,0.9985495927702778,0.0014504072297221913
5,fever,8939,8936.0,3.0,0.9996643919901554,0.0003356080098445016
6,weakness,6604,6598.0,6.0,0.999091459721381,0.0009085402786190188
7,altered mental status,4903,4894.0,9.0,0.9981643891495003,0.001835610850499694
8,n/v,4736,4734.0,2.0,0.9995777027027027,0.0004222972972972973
9,abnormal labs,4254,4253.0,1.0,0.9997649271274095,0.00023507287259050304
10,si,4237,4235.0,2.0,0.9995279679018173,0.0004720320981826764
11,dizziness,3338,3335.0,3.0,0.9991012582384662,0.0008987417615338526
12,wound eval,3146,3146.0,0.0,1.0,0.0
13,headache,3140,3136.0,4.0,0.9987261146496815,0.0012738853503184713
14,cough,2995,2990.0,5.0,0.998330550918197,0.001669449081803005
15,back pain,2918,2916.0,2.0,0.9993145990404386,0.0006854009595613434
16,brbpr,2696,2696.0,0.0,1.0,0.0
17,seizure,2137,2136.0,1.0,0.9995320542817033,0.0004679457182966776
18,syncope,2103,2101.0,2.0,0.9990489776509748,0.0009510223490252021
19,hypotension,1966,1961.0,5.0,0.9974567650050865,0.00254323499491353
20,diarrhea,1920,1919.0,1.0,0.9994791666666667,0.0005208333333333333
21,confusion,1913,1912.0,1.0,0.9994772608468374,0.0005227391531625719
22,vomiting,1910,1909.0,1.0,0.9994764397905759,0.0005235602094240838
23,nausea,1824,1822.0,2.0,0.9989035087719298,0.0010964912280701754
24,n/v/d,1646,1646.0,0.0,1.0,0.0
25,tachycardia,1384,1382.0,2.0,0.9985549132947977,0.001445086705202312
26,hypoxia,1378,1375.0,3.0,0.997822931785196,0.0021770682148040637
27,dyspnea on exertion,1356,1356.0,0.0,1.0,0.0
28,mvc,1319,1314.0,5.0,0.9962092494313874,0.0037907505686125853
29,anemia,1288,1288.0,0.0,1.0,0.0
30,hyperglycemia,1268,1268.0,0.0,1.0,0.0
31,abnormal ct,1268,1268.0,0.0,1.0,0.0
32,ili,1248,1247.0,1.0,0.999198717948718,0.0008012820512820513
33,lethargy,1167,1166.0,1.0,0.9991431019708654,0.000856898029134533
