,complaint,total,home_count,admit_count,home_pp,admit_pp
2,transfer,24102,3988.0,20114.0,0.16546344701684507,0.8345365529831549
42,hypotension,2356,395.0,1961.0,0.16765704584040747,0.8323429541595926
76,hypoxia,1449,74.0,1375.0,0.05106970324361629,0.9489302967563837
99,ich,1011,74.0,937.0,0.07319485657764589,0.9268051434223541
102,jaundice,940,24.0,916.0,0.02553191489361702,0.9744680851063829
119,cva,785,14.0,771.0,0.017834394904458598,0.9821656050955414
127,gi bleed,700,20.0,680.0,0.02857142857142857,0.9714285714285714
128,failure to thrive,698,104.0,594.0,0.1489971346704871,0.8510028653295129
130,unresponsive,689,136.0,553.0,0.19738751814223512,0.8026124818577649
135,respiratory distress,638,36.0,602.0,0.05642633228840126,0.9435736677115988
136,pneumonia,635,55.0,580.0,0.08661417322834646,0.9133858267716536
144,sbo,562,45.0,517.0,0.0800711743772242,0.9199288256227758
174,nstemi,433,7.0,426.0,0.016166281755196306,0.9838337182448037
178,pe,420,22.0,398.0,0.05238095238095238,0.9476190476190476
186,elevated troponin,390,20.0,370.0,0.05128205128205128,0.9487179487179487
200,abnormal sodium level,330,50.0,280.0,0.15151515151515152,0.8484848484848485
202,head bleed,327,7.0,320.0,0.021406727828746176,0.9785932721712538
221,coffee ground emesis,300,36.0,264.0,0.12,0.88
239,cardiac arrest,264,6.0,258.0,0.022727272727272728,0.9772727272727273
260,appendicitis,220,19.0,201.0,0.08636363636363636,0.9136363636363637
262,pancreatitis,219,11.0,208.0,0.0502283105022831,0.9497716894977168
263,pneumothorax,218,31.0,187.0,0.14220183486238533,0.8577981651376146
279,positive blood cultures,202,8.0,194.0,0.039603960396039604,0.9603960396039604
285,stemi,198,13.0,185.0,0.06565656565656566,0.9343434343434344
288,aaa,192,17.0,175.0,0.08854166666666667,0.9114583333333334
304,r hip fracture,179,7.0,172.0,0.03910614525139665,0.9608938547486033
310,l hip fracture,175,9.0,166.0,0.05142857142857143,0.9485714285714286
323,labor,162,10.0,152.0,0.06172839506172839,0.9382716049382716
327,ms changes,160,25.0,135.0,0.15625,0.84375
339,gib,151,2.0,149.0,0.013245033112582781,0.9867549668874173
351,intubated,140,0.0,140.0,0.0,1.0
355,ftt,137,26.0,111.0,0.1897810218978102,0.8102189781021898
358,elevated wbc,135,11.0,124.0,0.08148148148148149,0.9185185185185185
365,hyponatremia,132,22.0,110.0,0.16666666666666666,0.8333333333333334
373,sepsis,125,1.0,124.0,0.008,0.992
375,altered level of consciousness,124,21.0,103.0,0.1693548387096774,0.8306451612903226
378,resp distress,122,3.0,119.0,0.02459016393442623,0.9754098360655737
380,r/o stroke,121,14.0,107.0,0.11570247933884298,0.8842975206611571
384,code stroke,119,9.0,110.0,0.07563025210084033,0.9243697478991597
386,dka,118,10.0,108.0,0.0847457627118644,0.9152542372881356
390,stroke,116,3.0,113.0,0.02586206896551724,0.9741379310344828
393,s/p cardiac arrest,115,1.0,114.0,0.008695652173913044,0.991304347826087
408,femur fracture,108,2.0,106.0,0.018518518518518517,0.9814814814814815
422,l femur fracture,101,3.0,98.0,0.0297029702970297,0.9702970297029703
423,acute renal failure,101,3.0,98.0,0.0297029702970297,0.9702970297029703
425,hip fracture,99,4.0,95.0,0.04040404040404041,0.9595959595959596
426,neutropenia,99,4.0,95.0,0.04040404040404041,0.9595959595959596
440,cholecystitis,91,7.0,84.0,0.07692307692307693,0.9230769230769231
445,bowel obstruction,89,8.0,81.0,0.0898876404494382,0.9101123595505618
446,r femur fracture,89,3.0,86.0,0.033707865168539325,0.9662921348314607
457,r/o cva,85,15.0,70.0,0.17647058823529413,0.8235294117647058
466,thrombocytopenia,81,11.0,70.0,0.13580246913580246,0.8641975308641975
467,ascites,81,1.0,80.0,0.012345679012345678,0.9876543209876543
469,tachypnea,81,8.0,73.0,0.09876543209876543,0.9012345679012346
473,rib fracture,79,14.0,65.0,0.17721518987341772,0.8227848101265823
491,urosepsis,74,0.0,74.0,0.0,1.0
492,pna,74,6.0,68.0,0.08108108108108109,0.918918918918919
500,chf,71,5.0,66.0,0.07042253521126761,0.9295774647887324
503,pulseless foot,69,4.0,65.0,0.057971014492753624,0.9420289855072463
505,iph,69,2.0,67.0,0.028985507246376812,0.9710144927536232
558,vtach,56,3.0,53.0,0.05357142857142857,0.9464285714285714
559,hypotensive,56,9.0,47.0,0.16071428571428573,0.8392857142857143
563,mental status changes,54,8.0,46.0,0.14814814814814814,0.8518518518518519
589,s/p arrest,49,0.0,49.0,0.0,1.0
590,pleural effusion,49,5.0,44.0,0.10204081632653061,0.8979591836734694
592,ams,49,4.0,45.0,0.08163265306122448,0.9183673469387755
612,tia,44,5.0,39.0,0.11363636363636363,0.8863636363636364
616,femur fx,44,0.0,44.0,0.0,1.0
630,renal failure,41,1.0,40.0,0.024390243902439025,0.975609756097561
631,alt ms,41,5.0,36.0,0.12195121951219512,0.8780487804878049
636,chemo,41,8.0,33.0,0.1951219512195122,0.8048780487804879
641,intracranial mass,40,1.0,39.0,0.025,0.975
653,post arrest,39,1.0,38.0,0.02564102564102564,0.9743589743589743
658,hepatic encephalopathy,38,0.0,38.0,0.0,1.0
694,abn labs,35,5.0,30.0,0.14285714285714285,0.8571428571428571
696,hip fx,35,3.0,32.0,0.08571428571428572,0.9142857142857143
702,abnormal echo,34,6.0,28.0,0.17647058823529413,0.8235294117647058
703,tib/fib fracture,34,2.0,32.0,0.058823529411764705,0.9411764705882353
738,l ankle fx,31,4.0,27.0,0.12903225806451613,0.8709677419354839
742,for admission,31,1.0,30.0,0.03225806451612903,0.967741935483871
755,abnormal ct scan,29,4.0,25.0,0.13793103448275862,0.8620689655172413
756,r/o tia,29,5.0,24.0,0.1724137931034483,0.8275862068965517
760,pericardial effusion,29,2.0,27.0,0.06896551724137931,0.9310344827586207
766,gallstones,28,3.0,25.0,0.10714285714285714,0.8928571428571429
784,r ankle fx,27,2.0,25.0,0.07407407407407407,0.9259259259259259
793,intubated transfer,26,0.0,26.0,0.0,1.0
820,change in ms,25,4.0,21.0,0.16,0.84
825,brain mass,25,1.0,24.0,0.04,0.96
831,needs ercp,24,0.0,24.0,0.0,1.0
832,arf,24,4.0,20.0,0.16666666666666666,0.8333333333333334
839,r/o sepsis,24,0.0,24.0,0.0,1.0
840,l foot ulcer,24,3.0,21.0,0.125,0.875
841,acute cholangitis,24,1.0,23.0,0.041666666666666664,0.9583333333333334
854,for admit,23,3.0,20.0,0.13043478260869565,0.8695652173913043
855,l pulseless foot,23,2.0,21.0,0.08695652173913043,0.9130434782608695
880,r hip fx,22,0.0,22.0,0.0,1.0
881,pelvic fx,22,0.0,22.0,0.0,1.0
885,l sided weakness,22,4.0,18.0,0.18181818181818182,0.8181818181818182
891,elevated creatinine,22,3.0,19.0,0.13636363636363635,0.8636363636363636
897,headbleed,22,0.0,22.0,0.0,1.0
916,tylenol od,21,3.0,18.0,0.14285714285714285,0.8571428571428571
917,right hip fx,21,0.0,21.0,0.0,1.0
949,elevated trop,20,0.0,20.0,0.0,1.0
959,liver failure,19,0.0,19.0,0.0,1.0
975,contractions,19,3.0,16.0,0.15789473684210525,0.8421052631578947
993,upper gi bleed,18,0.0,18.0,0.0,1.0
1004,r foot infection,18,1.0,17.0,0.05555555555555555,0.9444444444444444
1011,aortic dissection,18,0.0,18.0,0.0,1.0
1019,abnl mri,17,3.0,14.0,0.17647058823529413,0.8235294117647058
1023,low sats,17,2.0,15.0,0.11764705882352941,0.8823529411764706
1026,r elbow fracture,17,3.0,14.0,0.17647058823529413,0.8235294117647058
1036,sternal fracture,17,3.0,14.0,0.17647058823529413,0.8235294117647058
1040,l hip fx,17,0.0,17.0,0.0,1.0
1048,r rib fracture,17,2.0,15.0,0.11764705882352941,0.8823529411764706
1050,l elbow fracture,16,1.0,15.0,0.0625,0.9375
1053,sickle cell,16,2.0,14.0,0.125,0.875
1056,hypercalcemia,16,2.0,14.0,0.125,0.875
1059,heart block,16,0.0,16.0,0.0,1.0
1064,hip injury,16,3.0,13.0,0.1875,0.8125
1089,left hip fx,15,1.0,14.0,0.06666666666666667,0.9333333333333333
1095,status epilepticus,15,0.0,15.0,0.0,1.0
1126,new mass,15,2.0,13.0,0.13333333333333333,0.8666666666666667
1137,abnormal stress,14,2.0,12.0,0.14285714285714285,0.8571428571428571
1142,r pulseless foot,14,0.0,14.0,0.0,1.0
1163,si/od,14,2.0,12.0,0.14285714285714285,0.8571428571428571
1165,tib/fib fx,14,0.0,14.0,0.0,1.0
1167,elevated lft's,14,2.0,12.0,0.14285714285714285,0.8571428571428571
1172,appy,14,0.0,14.0,0.0,1.0
1201,splenic laceration,13,0.0,13.0,0.0,1.0
1207,sw,13,2.0,11.0,0.15384615384615385,0.8461538461538461
1232,aortic aneurysm,13,1.0,12.0,0.07692307692307693,0.9230769230769231
1235,r femur fx,13,0.0,13.0,0.0,1.0
1249,for ercp,13,0.0,13.0,0.0,1.0
1255,retroperitoneal bleed,13,0.0,13.0,0.0,1.0
1261,lvad,12,1.0,11.0,0.08333333333333333,0.9166666666666666
1264,fever/sob,12,1.0,11.0,0.08333333333333333,0.9166666666666666
1273,bacteremia,12,2.0,10.0,0.16666666666666666,0.8333333333333334
1281,lle cellulitis,12,2.0,10.0,0.16666666666666666,0.8333333333333334
1283,left leg weakness,12,1.0,11.0,0.08333333333333333,0.9166666666666666
1285,endocarditis,12,1.0,11.0,0.08333333333333333,0.9166666666666666
1286,cold foot,12,0.0,12.0,0.0,1.0
1290,l femur fx,12,0.0,12.0,0.0,1.0
1296,pulmonary embolism,12,0.0,12.0,0.0,1.0
1297,mental status change,12,1.0,11.0,0.08333333333333333,0.9166666666666666
1300,ankle fx,12,2.0,10.0,0.16666666666666666,0.8333333333333334
1301,l rib fracture,12,2.0,10.0,0.16666666666666666,0.8333333333333334
1304,lgib,12,0.0,12.0,0.0,1.0
1306,ercp,12,0.0,12.0,0.0,1.0
1307,+blood cultures,12,1.0,11.0,0.08333333333333333,0.9166666666666666
1308,fever on chemo,12,0.0,12.0,0.0,1.0
1312,resp arrest,12,0.0,12.0,0.0,1.0
1313,ms,12,0.0,12.0,0.0,1.0
1325,fever/abd pain,12,1.0,11.0,0.08333333333333333,0.9166666666666666
1326,pelvic fracture,11,1.0,10.0,0.09090909090909091,0.9090909090909091
1328,aicd firing,11,1.0,10.0,0.09090909090909091,0.9090909090909091
1332,fluid overload,11,1.0,10.0,0.09090909090909091,0.9090909090909091
1334,+ blood cultures,11,1.0,10.0,0.09090909090909091,0.9090909090909091
1346,dissection,11,0.0,11.0,0.0,1.0
