,complaint,total,home_count,admit_count,home_pp,admit_pp
8,etoh,9654,8530.0,1124.0,0.8835715765485809,0.1164284234514191
18,lower back pain,5364,4458.0,906.0,0.831096196868009,0.16890380313199105
23,sore throat,4444,4001.0,443.0,0.9003150315031503,0.09968496849684969
26,neck pain,4116,3390.0,726.0,0.8236151603498543,0.17638483965014579
30,rash,3393,2770.0,623.0,0.8163866784556439,0.18361332154435603
32,head injury,3200,2727.0,473.0,0.8521875,0.1478125
33,anxiety,3001,2402.0,599.0,0.8003998667110963,0.1996001332889037
36,allergic reaction,2608,2334.0,274.0,0.8949386503067485,0.10506134969325154
40,vaginal bleeding,2496,2034.0,462.0,0.8149038461538461,0.18509615384615385
44,unable to ambulate,2347,1922.0,425.0,0.8189177673625906,0.18108223263740947
53,r knee pain,2030,1716.0,314.0,0.8453201970443349,0.15467980295566502
54,l knee pain,1995,1701.0,294.0,0.8526315789473684,0.14736842105263157
58,assault,1869,1562.0,307.0,0.835741037988229,0.164258962011771
62,laceration,1789,1641.0,148.0,0.917272219116825,0.08272778088317496
67,r shoulder pain,1629,1404.0,225.0,0.861878453038674,0.13812154696132597
73,l shoulder pain,1496,1247.0,249.0,0.8335561497326203,0.16644385026737968
83,epistaxis,1266,1050.0,216.0,0.8293838862559242,0.17061611374407584
86,finger laceration,1210,1200.0,10.0,0.9917355371900827,0.008264462809917356
88,r arm pain,1146,924.0,222.0,0.806282722513089,0.193717277486911
90,substance use,1115,901.0,214.0,0.8080717488789237,0.19192825112107623
92,dental pain,1065,984.0,81.0,0.923943661971831,0.07605633802816901
101,r ankle pain,956,851.0,105.0,0.8901673640167364,0.1098326359832636
104,l ankle pain,927,822.0,105.0,0.8867313915857605,0.11326860841423948
105,toe pain,924,742.0,182.0,0.803030303030303,0.19696969696969696
114,r eye pain,824,754.0,70.0,0.9150485436893204,0.08495145631067962
116,l eye pain,817,764.0,53.0,0.9351285189718482,0.06487148102815178
129,l ear pain,698,659.0,39.0,0.9441260744985673,0.055873925501432664
132,finger injury,681,623.0,58.0,0.9148311306901615,0.08516886930983847
137,l ankle injury,614,502.0,112.0,0.8175895765472313,0.18241042345276873
139,r wrist pain,611,543.0,68.0,0.8887070376432079,0.11129296235679215
140,r ear pain,597,565.0,32.0,0.9463986599664992,0.05360134003350084
141,r hand injury,592,529.0,63.0,0.893581081081081,0.10641891891891891
145,dog bite,555,502.0,53.0,0.9045045045045045,0.09549549549549549
146,r hand pain,540,441.0,99.0,0.8166666666666667,0.18333333333333332
148,rci,535,518.0,17.0,0.9682242990654205,0.03177570093457944
149,l wrist pain,528,476.0,52.0,0.9015151515151515,0.09848484848484848
150,l hand injury,519,441.0,78.0,0.8497109826589595,0.15028901734104047
153,l calf pain,511,451.0,60.0,0.8825831702544031,0.11741682974559686
154,head lac,510,428.0,82.0,0.8392156862745098,0.1607843137254902
159,s/p mvc,499,453.0,46.0,0.9078156312625251,0.09218436873747494
165,med refill,472,439.0,33.0,0.9300847457627118,0.06991525423728813
169,suture removal,444,444.0,0.0,1.0,0.0
172,substance misuse/intoxication,438,416.0,22.0,0.9497716894977168,0.0502283105022831
175,testicular pain,428,358.0,70.0,0.8364485981308412,0.16355140186915887
176,l elbow pain,425,341.0,84.0,0.8023529411764706,0.1976470588235294
184,throat foreign body sensation,395,331.0,64.0,0.8379746835443038,0.1620253164556962
185,ear pain,395,347.0,48.0,0.8784810126582279,0.12151898734177215
187,r calf pain,388,338.0,50.0,0.8711340206185567,0.12886597938144329
188,vaginal pain,386,345.0,41.0,0.8937823834196891,0.10621761658031088
194,r elbow pain,371,303.0,68.0,0.816711590296496,0.18328840970350405
203,l wrist injury,324,280.0,44.0,0.8641975308641975,0.13580246913580246
209,l shoulder injury,317,273.0,44.0,0.861198738170347,0.138801261829653
212,r foot injury,313,280.0,33.0,0.8945686900958466,0.10543130990415335
213,l thumb laceration,312,309.0,3.0,0.9903846153846154,0.009615384615384616
219,eye pain,305,278.0,27.0,0.9114754098360656,0.08852459016393442
220,finger pain,304,273.0,31.0,0.8980263157894737,0.10197368421052631
222,burn,300,268.0,32.0,0.8933333333333333,0.10666666666666667
226,cat bite,280,227.0,53.0,0.8107142857142857,0.18928571428571428
231,l foot injury,274,255.0,19.0,0.9306569343065694,0.06934306569343066
232,r shoulder injury,274,237.0,37.0,0.864963503649635,0.13503649635036497
234,hives,271,261.0,10.0,0.9630996309963099,0.03690036900369004
237,r knee injury,266,219.0,47.0,0.8233082706766918,0.17669172932330826
238,l knee injury,265,216.0,49.0,0.8150943396226416,0.18490566037735848
241,s/p assault,263,232.0,31.0,0.8821292775665399,0.11787072243346007
242,lower extremity injury,262,217.0,45.0,0.8282442748091603,0.1717557251908397
246,lbp,258,218.0,40.0,0.8449612403100775,0.15503875968992248
249,l hand laceration,246,226.0,20.0,0.9186991869918699,0.08130081300813008
252,facial pain,242,207.0,35.0,0.8553719008264463,0.1446280991735537
253,insect bite,241,229.0,12.0,0.950207468879668,0.04979253112033195
261,upper back pain,220,184.0,36.0,0.8363636363636363,0.16363636363636364
266,finger swelling,215,189.0,26.0,0.8790697674418605,0.12093023255813953
267,upper extremity injury,215,189.0,26.0,0.8790697674418605,0.12093023255813953
271,r wrist injury,206,181.0,25.0,0.8786407766990292,0.12135922330097088
274,facial injury,204,171.0,33.0,0.8382352941176471,0.16176470588235295
275,left flank pain,204,166.0,38.0,0.8137254901960784,0.18627450980392157
276,lip swelling,204,167.0,37.0,0.8186274509803921,0.18137254901960784
277,mouth pain,203,164.0,39.0,0.8078817733990148,0.1921182266009852
289,traumatic back/spine injury,192,154.0,38.0,0.8020833333333334,0.19791666666666666
291,right flank pain,190,157.0,33.0,0.8263157894736842,0.1736842105263158
296,sinus pain,186,173.0,13.0,0.9301075268817204,0.06989247311827956
301,upper extremity pain,182,146.0,36.0,0.8021978021978022,0.1978021978021978
302,vaginal discharge,180,162.0,18.0,0.9,0.1
303,r testicular pain,179,168.0,11.0,0.9385474860335196,0.061452513966480445
307,l testicular pain,177,156.0,21.0,0.8813559322033898,0.11864406779661017
308,lip laceration,175,168.0,7.0,0.96,0.04
309,r hand laceration,175,165.0,10.0,0.9428571428571428,0.05714285714285714
311,r thumb injury,174,166.0,8.0,0.9540229885057471,0.04597701149425287
313,needlestick,171,171.0,0.0,1.0,0.0
318,right knee pain,168,145.0,23.0,0.8630952380952381,0.13690476190476192
319,penile pain,168,146.0,22.0,0.8690476190476191,0.13095238095238096
321,l finger injury,163,142.0,21.0,0.8711656441717791,0.12883435582822086
322,r finger injury,162,151.0,11.0,0.9320987654320988,0.06790123456790123
325,st,161,155.0,6.0,0.9627329192546584,0.037267080745341616
326,hand injury,160,131.0,29.0,0.81875,0.18125
332,rabies vaccine,156,156.0,0.0,1.0,0.0
333,r thumb laceration,155,151.0,4.0,0.9741935483870968,0.025806451612903226
341,hand laceration,151,144.0,7.0,0.9536423841059603,0.046357615894039736
342,l thumb injury,151,142.0,9.0,0.9403973509933775,0.059602649006622516
343,migraine,150,133.0,17.0,0.8866666666666667,0.11333333333333333
344,finger lac,149,148.0,1.0,0.9932885906040269,0.006711409395973154
349,left knee pain,141,128.0,13.0,0.9078014184397163,0.09219858156028368
354,eye redness,137,132.0,5.0,0.9635036496350365,0.0364963503649635
360,exposure,135,134.0,1.0,0.9925925925925926,0.007407407407407408
364,left sided chest pain,132,108.0,24.0,0.8181818181818182,0.18181818181818182
369,vag bleeding,129,105.0,24.0,0.813953488372093,0.18604651162790697
372,human bite,126,125.0,1.0,0.9920634920634921,0.007936507936507936
376,hand pain,124,100.0,24.0,0.8064516129032258,0.1935483870967742
379,l finger laceration,122,121.0,1.0,0.9918032786885246,0.00819672131147541
383,l eye swelling,121,105.0,16.0,0.8677685950413223,0.1322314049586777
392,r eye swelling,116,99.0,17.0,0.853448275862069,0.14655172413793102
395,r neck pain,115,96.0,19.0,0.8347826086956521,0.16521739130434782
396,laceration/puncture,114,109.0,5.0,0.956140350877193,0.043859649122807015
402,r breast pain,111,89.0,22.0,0.8018018018018018,0.1981981981981982
403,nasal injury,111,105.0,6.0,0.9459459459459459,0.05405405405405406
405,l neck pain,109,98.0,11.0,0.8990825688073395,0.10091743119266056
409,requesting detox,107,88.0,19.0,0.822429906542056,0.17757009345794392
411,r eye eval,106,90.0,16.0,0.8490566037735849,0.1509433962264151
413,right shoulder pain,105,97.0,8.0,0.9238095238095239,0.0761904761904762
416,ankle pain,104,93.0,11.0,0.8942307692307693,0.10576923076923077
419,left arm pain,103,84.0,19.0,0.8155339805825242,0.18446601941747573
420,left shoulder pain,102,88.0,14.0,0.8627450980392157,0.13725490196078433
421,left foot pain,101,92.0,9.0,0.9108910891089109,0.0891089108910891
424,left ankle pain,101,94.0,7.0,0.9306930693069307,0.06930693069306931
430,mci,97,86.0,11.0,0.8865979381443299,0.1134020618556701
434,eye eval,96,87.0,9.0,0.90625,0.09375
435,hand numbness,95,80.0,15.0,0.8421052631578947,0.15789473684210525
437,r back pain,94,79.0,15.0,0.8404255319148937,0.1595744680851064
438,l ankle swelling,94,78.0,16.0,0.8297872340425532,0.1702127659574468
439,l facial pain,92,81.0,11.0,0.8804347826086957,0.11956521739130435
442,r thumb pain,90,76.0,14.0,0.8444444444444444,0.15555555555555556
443,r finger laceration,90,88.0,2.0,0.9777777777777777,0.022222222222222223
448,l eye redness,88,85.0,3.0,0.9659090909090909,0.03409090909090909
450,r facial pain,87,73.0,14.0,0.8390804597701149,0.16091954022988506
451,r eye redness,87,84.0,3.0,0.9655172413793104,0.034482758620689655
455,leg laceration,86,75.0,11.0,0.872093023255814,0.12790697674418605
456,abcess,85,72.0,13.0,0.8470588235294118,0.15294117647058825
